label,counts
0,36313663
1,7123598
2,28529463
3,3659820
4,4632889
5,2913093
6,2920352
7,3132358
8,2366714
9,1162453
10,2979623
11,442810
12,305419
13,566288
14,4725019
15,354072
16,2921535
17,659321
18,2244133
19,1043172
20,914823
21,638861
22,447682
23,567653
24,263972
25,1426188
26,237305
27,508615
28,419290
29,356273
30,238958
31,522264
32,238166
33,37065
34,765846
35,3486721
36,354233
37,121994
38,93102
39,43669
40,115181
41,303151
42,35727
43,136587
44,238518
45,1069570
46,146545
47,336096
48,982496
49,375577
50,369979
51,125640
52,276755
53,65455
54,132514
55,32923
56,18645
57,144342
58,139799
59,203277
60,97915
61,262017
62,302168
63,25136
64,302779
65,244947
66,82405
67,42878
68,337179
69,27367
70,79561
71,85634
72,28858
73,170005
74,48275
75,4982
76,337960
77,63793
78,118057
79,24136
80,543457
81,202834
82,24927
83,296383
84,16807
85,26923
86,19577
87,10582
88,36263
89,50296
90,52419
91,40689
92,62744
93,19050
94,4132
95,45121
96,7688
97,80939
98,29018
99,51489
100,415882
101,523669
102,22059
103,90591
104,38063
105,41018
106,55345
107,9506
108,28718
109,28925
110,103446
111,17151
112,3249
113,94031
114,7744
115,64231
116,4165
117,325903
118,829411
119,19237
120,125185
121,8974
122,20282
123,4764
124,7237
125,36741
126,14942
127,15084
128,44170
129,76632
130,32807
131,6191
132,7362
133,8124
134,59124
135,110952
136,32442
137,4978
138,12210
139,2161
140,11230
141,1038
142,57978
143,13506
144,8142
145,157800
146,14125
147,4187
148,5437
149,11972
150,1685
151,34090
152,5964
153,17992
154,36310
155,5069
156,1110
157,4591
158,8578
159,7603
160,9177
161,4629
162,5684
163,258679
164,4460
165,16816
166,1395
167,15891
168,64847
169,34961
170,5216
171,52960
172,520297
173,266667
174,170895
175,47333
176,106439
177,28674
178,44014
179,9808
180,108999
181,19395
182,139848
183,5681
184,14017
185,3543
186,52284
187,1047
188,6882
189,10528
190,8299
191,37369
192,30816
193,1309
194,1384
195,4436
196,23098
197,18830
198,10221
199,27287
255,17883739
